Date,Open,High,Low,Close,Adj Close,Volume
2019-10-09,3.186878,3.288913,3.181654,3.268558,3.268558,94881723
2019-10-10,3.269562,3.505503,3.251122,3.431794,3.431794,113124829
2019-10-11,3.429873,3.519030,3.337061,3.372099,3.372099,90329083
2019-10-12,3.372099,3.455841,3.367694,3.431266,3.431266,51504337
2019-10-13,3.428958,3.515556,3.379470,3.415516,3.415516,51315132
2019-10-14,3.415516,3.723609,3.407911,3.721602,3.721602,114412852
2019-10-15,3.721947,3.721947,3.556416,3.633683,3.633683,98905251
2019-10-16,3.635793,3.640319,3.409946,3.479859,3.479859,80659610
2019-10-17,3.478516,3.515654,3.415232,3.501906,3.501906,74161835
2019-10-18,3.501906,3.578509,3.412297,3.458391,3.458391,79644230
2019-10-19,3.454409,3.467984,3.410794,3.414948,3.414948,55623305
2019-10-20,3.411407,3.459710,3.336278,3.419623,3.419623,77169216
2019-10-21,3.417889,3.445483,3.383609,3.410899,3.410899,67025355
2019-10-22,3.413334,3.435231,3.338799,3.364290,3.364290,65588886
2019-10-23,3.362687,3.375952,3.105904,3.195947,3.195947,94450169
2019-10-24,3.194676,3.222656,3.144070,3.195852,3.195852,77495987
2019-10-25,3.194195,3.602478,3.164658,3.599289,3.599289,132261708
2019-10-26,3.600472,3.707156,3.472539,3.513400,3.513400,187753424
2019-10-27,3.516336,3.773361,3.401413,3.573364,3.573364,179486078
2019-10-28,3.568835,3.910690,3.568835,3.803906,3.803906,194764659
2019-10-29,3.805637,3.867323,3.747762,3.816731,3.816731,115032622
2019-10-30,3.819236,3.828599,3.657549,3.771275,3.771275,122272668
2019-10-31,3.771174,4.027984,3.764937,3.943913,3.943913,167194158
2019-11-01,3.949063,3.978764,3.892486,3.964951,3.964951,131523321
2019-11-02,3.967277,3.981684,3.896356,3.948788,3.948788,109197719
2019-11-03,3.949068,3.992447,3.850521,3.906998,3.906998,109409606
2019-11-04,3.906855,3.936188,3.874674,3.920422,3.920422,116394690
2019-11-05,3.920422,3.934151,3.872946,3.910018,3.910018,115306760
2019-11-06,3.911346,4.088053,3.897012,3.995991,3.995991,165170676
2019-11-07,3.993866,4.057709,3.962416,3.976480,3.976480,129807534
2019-11-08,3.977591,3.991850,3.778351,3.866433,3.866433,138803565
2019-11-09,3.865570,3.876945,3.813933,3.844502,3.844502,98332137
2019-11-10,3.844741,3.945646,3.824504,3.902555,3.902555,120366894
2019-11-11,3.901865,3.919733,3.774889,3.826335,3.826335,111140323
2019-11-12,3.830340,3.844593,3.784681,3.820113,3.820113,75418134
2019-11-13,3.816812,3.880480,3.804528,3.857417,3.857417,75337425
2019-11-14,3.855742,3.899203,3.790289,3.796278,3.796278,215380010
2019-11-15,3.798941,3.816699,3.600730,3.652887,3.652887,236429596
2019-11-16,3.649532,3.702930,3.644914,3.663087,3.663087,223670815
2019-11-17,3.663087,3.693265,3.589010,3.640243,3.640243,164664145
2019-11-18,3.637760,3.651845,3.499183,3.520585,3.520585,150177246
2019-11-19,3.520585,3.598910,3.334626,3.428824,3.428824,126343748
2019-11-20,3.427931,3.485396,3.355402,3.362007,3.362007,87913308
2019-11-21,3.360456,3.380452,3.067305,3.101954,3.101954,114296656
2019-11-22,3.101954,3.166814,2.670249,2.821791,2.821791,209808954
2019-11-23,2.822921,2.850826,2.639112,2.813084,2.813084,142187350
2019-11-24,2.804754,2.819146,2.416074,2.418165,2.418165,129201165
2019-11-25,2.425693,2.575950,2.248775,2.469481,2.469481,201017042
2019-11-26,2.469934,2.667063,2.440242,2.594056,2.594056,105775996
2019-11-27,2.589396,2.655353,2.418645,2.628788,2.628788,126421903
2019-11-28,2.631065,2.776326,2.619659,2.672013,2.672013,125483018
2019-11-29,2.673987,2.804149,2.666900,2.793883,2.793883,127427628
2019-11-30,2.795339,2.932632,2.717971,2.792042,2.792042,158251036
2019-12-01,2.797719,2.852473,2.694777,2.801978,2.801978,155934737
2019-12-02,2.800520,2.989510,2.782841,2.978501,2.978501,156826906
2019-12-03,2.978501,3.055024,2.809399,2.945516,2.945516,152613558
2019-12-04,2.944576,2.944930,2.781020,2.828865,2.828865,149355023
2019-12-05,2.830599,2.995839,2.802786,2.836771,2.836771,125420088
2019-12-06,2.837789,2.897610,2.811826,2.827627,2.827627,94943823
2019-12-07,2.829695,2.867880,2.816303,2.837254,2.837254,137049810
2019-12-08,2.835493,2.849150,2.790683,2.819384,2.819384,86537272
2019-12-09,2.817935,2.842545,2.766419,2.779465,2.779465,89024232
2019-12-10,2.778801,2.778801,2.668516,2.722738,2.722738,80676198
2019-12-11,2.722807,2.754201,2.699873,2.723100,2.723100,82985843
2019-12-12,2.723100,2.787547,2.707264,2.770300,2.770300,84700657
2019-12-13,2.769135,2.814805,2.759521,2.782434,2.782434,96884560
2019-12-14,2.781935,2.799384,2.709894,2.717364,2.717364,112812199
2019-12-15,2.717471,2.741121,2.599973,2.725443,2.725443,122494596
2019-12-16,2.727613,2.735137,2.589454,2.593445,2.593445,121938917
2019-12-17,2.593445,2.600438,2.376641,2.396174,2.396174,138503382
2019-12-18,2.382796,2.722987,2.369450,2.692592,2.692592,216748376
2019-12-19,2.692321,2.730521,2.615255,2.717639,2.717639,149562802
2019-12-20,2.717628,2.802241,2.696817,2.761871,2.761871,115478618
2019-12-21,2.764140,2.830075,2.703246,2.813319,2.813319,109353056
2019-12-22,2.814057,2.860372,2.773898,2.857607,2.857607,134255821
2019-12-23,2.857682,2.931094,2.813783,2.826447,2.826447,168832758
2019-12-24,2.830920,2.912076,2.797523,2.861537,2.861537,111449993
2019-12-25,2.861537,2.869666,2.762519,2.813892,2.813892,104122757
2019-12-26,2.813892,2.818946,2.762405,2.778097,2.778097,110427485
2019-12-27,2.780317,2.832354,2.752238,2.784280,2.784280,99549634
2019-12-28,2.784481,2.829137,2.781803,2.792594,2.792594,97390068
2019-12-29,2.792344,2.858930,2.790624,2.812958,2.812958,106362520
2019-12-30,2.817125,2.861505,2.762828,2.791390,2.791390,107859809
2019-12-31,2.792947,2.799273,2.728934,2.747599,2.747599,93318487
2020-01-01,2.747599,2.836225,2.742652,2.815945,2.815945,107014240
2020-01-02,2.816076,2.854443,2.738030,2.748574,2.748574,127923383
2020-01-03,2.760162,2.851720,2.695399,2.845197,2.845197,146742345
2020-01-04,2.845307,2.920479,2.818113,2.917067,2.917067,129387617
2020-01-05,2.915207,2.979099,2.908133,2.938136,2.938136,119839038
2020-01-06,2.938879,3.051778,2.932075,3.051778,3.051778,178096378
2020-01-07,3.050205,3.154517,3.021413,3.139604,3.139604,236321944
2020-01-08,3.137402,3.196848,3.019039,3.071544,3.071544,218548663
2020-01-09,3.071342,3.071342,2.964919,3.064891,3.064891,155031303
2020-01-10,3.069573,3.113780,2.974855,3.113523,3.113523,214112126
2020-01-11,3.106133,3.226883,3.077190,3.156296,3.156296,152428071
2020-01-12,3.153888,3.205116,3.077739,3.092592,3.092592,129949368
2020-01-13,3.092905,3.104175,3.016888,3.046271,3.046271,133950019
2020-01-14,3.047188,3.300927,3.044068,3.238026,3.238026,359214699
2020-01-15,3.233439,3.348167,3.129219,3.280009,3.280009,297998580
2020-01-16,3.281861,3.293242,3.131379,3.243103,3.243103,168315633
2020-01-17,3.240719,3.306704,3.198164,3.277320,3.277320,185645487
2020-01-18,3.274154,3.292352,3.189301,3.218107,3.218107,156139132
2020-01-19,3.222993,3.285477,3.082009,3.147017,3.147017,162391777
2020-01-20,3.148171,3.213941,3.084741,3.171789,3.171789,125622177
2020-01-21,3.171768,3.289460,3.164816,3.263613,3.263613,142830754
2020-01-22,3.258464,3.287949,3.216214,3.247149,3.247149,104633876
2020-01-23,3.245787,3.245787,3.060801,3.130054,3.130054,126127334
2020-01-24,3.131945,3.150184,3.050072,3.124949,3.124949,117533845
2020-01-25,3.125471,3.129014,3.061691,3.085038,3.085038,86633958
2020-01-26,3.083174,3.153894,3.068738,3.148141,3.148141,105636039
2020-01-27,3.147885,3.214767,3.139456,3.195081,3.195081,168209429
2020-01-28,3.193029,3.253880,3.163887,3.253332,3.253332,178973598
2020-01-29,3.251764,3.455774,3.244613,3.392598,3.392598,236378858
2020-01-30,3.389223,3.505718,3.340642,3.499458,3.499458,240909890
2020-01-31,3.498016,3.557018,3.361566,3.441809,3.441809,249757025
2020-02-01,3.443695,3.493089,3.414679,3.472392,3.472392,159118308
2020-02-02,3.471294,3.533576,3.364738,3.475630,3.475630,181480531
2020-02-03,3.476839,3.519983,3.415633,3.452788,3.452788,143343968
2020-02-04,3.447481,3.470437,3.343761,3.433392,3.433392,134770987
2020-02-05,3.429352,3.607878,3.415518,3.580397,3.580397,218391076
2020-02-06,3.580464,3.798545,3.547384,3.700078,3.700078,329143909
2020-02-07,3.705627,3.991764,3.705627,3.901989,3.901989,373269634
2020-02-08,3.898965,3.921766,3.781486,3.827856,3.827856,284265800
2020-02-09,3.826661,3.992120,3.818177,3.966799,3.966799,302385209
2020-02-10,3.964618,4.777257,3.881299,4.710620,4.710620,1055397693
2020-02-11,4.703555,4.768716,4.387375,4.638990,4.638990,545387696
2020-02-12,4.644411,4.911196,4.598380,4.881485,4.881485,363066240
2020-02-13,4.884544,4.998722,4.616566,4.767232,4.767232,378017611
2020-02-14,4.764803,5.071281,4.740485,5.043144,5.043144,366021796
2020-02-15,5.043144,5.316344,4.824267,4.889510,4.889510,618213979
2020-02-16,4.906890,5.304725,4.634404,5.062707,5.062707,634936367
2020-02-17,5.042806,5.059568,4.476868,4.744151,4.744151,546513226
2020-02-18,4.757568,4.988762,4.620093,4.964602,4.964602,352829082
2020-02-19,4.969162,5.097190,4.774717,4.789494,4.789494,392054213
2020-02-20,4.774783,4.872158,4.565921,4.746678,4.746678,337953241
2020-02-21,4.740056,4.803504,4.682762,4.765756,4.765756,207930247
2020-02-22,4.781367,4.794226,4.512665,4.524091,4.524091,219757153
2020-02-23,4.524314,4.803283,4.515149,4.767964,4.767964,255380250
2020-02-24,4.753409,4.802159,4.563024,4.661933,4.661933,288844937
2020-02-25,4.666963,4.670449,4.204902,4.277368,4.277368,336524652
2020-02-26,4.268186,4.294169,3.946697,4.087806,4.087806,463581641
2020-02-27,4.094578,4.324978,3.921873,4.216330,4.216330,371068212
2020-02-28,4.227443,4.879042,4.106676,4.671044,4.671044,783266697
2020-02-29,4.672968,5.490846,4.660523,4.862115,4.862115,1300466629
2020-03-01,4.848635,5.011913,4.472300,4.601686,4.601686,608435607
2020-03-02,4.608601,4.787711,4.560858,4.759589,4.759589,417323780
2020-03-03,4.739015,4.780715,4.568252,4.641224,4.641224,305901068
2020-03-04,4.624663,4.708998,4.582847,4.647330,4.647330,204239429
2020-03-05,4.651200,4.795994,4.637490,4.702632,4.702632,217542528
2020-03-06,4.691396,4.792373,4.668499,4.740563,4.740563,184437468
2020-03-07,4.731523,4.773757,4.624406,4.652085,4.652085,172041631
2020-03-08,4.643565,4.647979,4.218083,4.242129,4.242129,306263870
2020-03-09,4.246378,4.292740,3.843769,4.092481,4.092481,412592253
2020-03-10,4.095351,4.172346,3.938103,4.023854,4.023854,220481101
2020-03-11,4.025625,4.097117,3.847337,3.979007,3.979007,173570064
2020-03-12,3.983803,3.997973,2.381019,2.419572,2.419572,461379669
2020-03-13,2.428516,2.957871,1.973555,2.925604,2.925604,660094906
2020-03-14,2.924776,3.060314,2.787358,2.835037,2.835037,250847706
2020-03-15,2.819933,3.138600,2.809030,3.055680,3.055680,264299338
2020-03-16,3.056652,3.088842,2.646470,2.840327,2.840327,359620576
2020-03-17,2.841648,3.006501,2.812129,2.905097,2.905097,214908372
2020-03-18,2.903882,3.020915,2.846701,2.908630,2.908630,222574970
2020-03-19,2.915635,3.412879,2.901668,3.302900,3.302900,356688609
2020-03-20,3.313709,3.592085,3.157319,3.279790,3.279790,381608478
2020-03-21,3.278357,3.429475,3.193084,3.358792,3.358792,293948635
2020-03-22,3.392886,3.412452,3.139907,3.153399,3.153399,309611478
2020-03-23,3.153399,3.343846,3.115361,3.330718,3.330718,231565092
2020-03-24,3.344082,3.449737,3.294127,3.414239,3.414239,175056564
2020-03-25,3.419173,3.450890,3.324528,3.372121,3.372121,157394335
2020-03-26,3.369433,3.408752,3.327779,3.385522,3.385522,119746932
2020-03-27,3.385866,3.430988,3.290128,3.299318,3.299318,155702155
2020-03-28,3.287333,3.308840,3.190438,3.257144,3.257144,167993055
2020-03-29,3.252006,3.264285,3.080819,3.098703,3.098703,121382641
2020-03-30,3.099671,3.328285,3.061716,3.290901,3.290901,155975098
2020-03-31,3.287042,3.334294,3.260380,3.322357,3.322357,114701840
2020-04-01,3.322357,3.390369,3.251277,3.387559,3.387559,137860361
2020-04-02,3.392814,3.575858,3.318348,3.425137,3.425137,185420086
2020-04-03,3.436030,3.617473,3.416901,3.530996,3.530996,151713554
2020-04-04,3.530996,3.714403,3.502954,3.712321,3.712321,147584108
2020-04-05,3.714252,3.781603,3.656782,3.731305,3.731305,150835726
2020-04-06,3.729132,3.971718,3.706890,3.932734,3.932734,211996728
2020-04-07,3.931557,4.051719,3.869552,3.892282,3.892282,202680000
2020-04-08,3.896287,4.001788,3.872433,3.961573,3.961573,164920067
2020-04-09,3.949986,3.973736,3.873204,3.911476,3.911476,127004429
2020-04-10,3.912740,3.917188,3.566086,3.634776,3.634776,215402446
2020-04-11,3.634776,3.723839,3.598751,3.698498,3.698498,138359270
2020-04-12,3.683631,3.885130,3.651810,3.778024,3.778024,203473665
2020-04-13,3.766786,3.769181,3.615369,3.716005,3.716005,238565799
2020-04-14,3.717333,3.807888,3.684682,3.714118,3.714118,236842407
2020-04-15,3.730362,3.849104,3.648327,3.665177,3.665177,239443921
2020-04-16,3.653758,3.874714,3.590462,3.831223,3.831223,308967771
2020-04-17,3.831437,3.882162,3.794999,3.829511,3.829511,172710287
2020-04-18,3.827281,3.962734,3.815483,3.943146,3.943146,276464347
2020-04-19,3.945566,3.956793,3.849465,3.891791,3.891791,193877815
2020-04-20,3.878906,3.930798,3.711184,3.744952,3.744952,254397409
2020-04-21,3.729353,3.787560,3.668678,3.712769,3.712769,238361697
2020-04-22,3.710320,3.880884,3.680946,3.840186,3.840186,257917103
2020-04-23,3.842186,3.992402,3.782194,3.915648,3.915648,398655835
2020-04-24,3.907370,4.013589,3.907370,4.001169,4.001169,240246604
2020-04-25,3.997138,4.035385,3.948921,3.976319,3.976319,199869936
2020-04-26,3.977778,4.089922,3.947785,4.034801,4.034801,250395217
2020-04-27,4.039795,4.122562,4.008401,4.062038,4.062038,258217123
2020-04-28,4.068408,4.081166,4.025687,4.074273,4.074273,128671562
2020-04-29,4.074673,4.340800,4.065549,4.318713,4.318713,254179364
2020-04-30,4.316245,4.487966,4.150042,4.209035,4.209035,333790303
2020-05-01,4.209035,4.315770,4.209035,4.253491,4.253491,136209019
2020-05-02,4.256000,4.284600,4.220768,4.279247,4.279247,113115387
2020-05-03,4.279184,4.328154,4.156140,4.196542,4.196542,138481501
2020-05-04,4.195693,4.256927,4.065643,4.230199,4.230199,148592672
2020-05-05,4.232361,4.249534,4.128905,4.180812,4.180812,117873835
2020-05-06,4.178064,4.253713,4.158657,4.161165,4.161165,125467516
2020-05-07,4.161165,4.258283,4.089487,4.233010,4.233010,167426419
2020-05-08,4.236298,4.298341,4.171925,4.183405,4.183405,129043935
2020-05-09,4.180353,4.228338,4.094483,4.116194,4.116194,148267157
2020-05-10,4.112648,4.113963,3.689612,3.857129,3.857129,273989290
2020-05-11,3.857866,3.888025,3.684296,3.755589,3.755589,225273905
2020-05-12,3.767813,3.909744,3.753326,3.883741,3.883741,132459501
2020-05-13,3.880775,3.965839,3.867232,3.930181,3.930181,109003941
2020-05-14,3.928719,4.123684,3.914658,4.101760,4.101760,174537838
2020-05-15,4.107403,4.114740,3.988086,4.046185,4.046185,149396571
2020-05-16,4.045265,4.078521,3.995405,4.037997,4.037997,130025272
2020-05-17,4.037997,4.146035,4.030623,4.084170,4.084170,139896838
2020-05-18,4.089869,4.190138,4.078011,4.142751,4.142751,125325470
2020-05-19,4.144219,4.157907,4.093021,4.118632,4.118632,100223059
2020-05-20,4.116446,4.158566,4.019269,4.067325,4.067325,111956074
2020-05-21,4.065743,4.087379,3.862407,3.933596,3.933596,128224668
2020-05-22,3.934488,3.997341,3.891929,3.984544,3.984544,111545097
2020-05-23,3.984875,4.029676,3.927344,3.964661,3.964661,84870507
2020-05-24,3.964995,3.998881,3.830040,3.841736,3.841736,113600320
2020-05-25,3.836757,3.930562,3.814085,3.911898,3.911898,103938416
2020-05-26,3.912603,3.917901,3.827469,3.872616,3.872616,84371815
2020-05-27,3.872616,3.955647,3.852755,3.948726,3.948726,89310011
2020-05-28,3.949810,4.051405,3.924723,4.042113,4.042113,101890935
2020-05-29,4.044537,4.118068,3.959441,4.093935,4.093935,114125302
2020-05-30,4.093514,4.158707,4.029894,4.155895,4.155895,140892941
2020-05-31,4.155895,4.156778,4.043560,4.057960,4.057960,114415528
2020-06-01,4.061563,4.171029,4.043423,4.163363,4.163363,136374386
2020-06-02,4.159769,4.258933,4.020301,4.077329,4.077329,195030301
2020-06-03,4.077329,4.095536,4.030166,4.088399,4.088399,114399192
2020-06-04,4.087076,4.123843,4.036618,4.118763,4.118763,117905534
